,er,AV,Accuracy
85,J48,K7AntiVirus,0.8800599700149925
86,J48,K7GW,0.8793103448275865
87,J48,Kaspersky,0.8826836581709145
88,J48,Kingsoft,0.8144677661169415
89,J48,MAX,0.8778110944527735
90,J48,McAfee,0.8830584707646175
91,J48,McAfee-GW,0.878185907046477
92,J48,MicroWorld,0.889430284857571
93,J48,Microsoft,0.8748125937031486
94,J48,NANO,0.87143928035982
95,J48,Paloalto,0.858695652173913
96,J48,Panda,0.8853073463268365
97,J48,Qihoo-360,0.8856821589205395
98,J48,Rising,0.890929535232384
99,J48,SASpyware,0.904422788605697
100,J48,SentinelOne,0.885307346326837
101,J48,Sophos,0.8879310344827585
102,J48,Symantec,0.8826836581709145
103,J48,Tencent,0.8804347826086956
104,J48,TheHacker,0.8620689655172415
105,J48,TotalDefense,0.8665667166416795
106,J48,TrendMicro,0.877061469265367
107,J48,TMHouseC,0.8796851574212889
108,J48,VBA32,0.8901799100449774
109,J48,VIPRE,0.877061469265367
110,J48,ViRobot,0.829085457271364
111,J48,Webroot,0.8931784107946026
112,J48,Yandex,0.893553223388306
113,J48,ZoneAlarm,0.880809595202399
114,J48,Zoner,0.915292353823088
115,J48,eGambit,0.9134182908545725
116,JRip,ALYac,0.9134182908545729
117,JRip,AVG,0.8886806596701651
118,JRip,AVware,0.8901799100449775
119,JRip,Ad-Aware,0.9134182908545725
120,JRip,AhnLab-V3,0.904047976011994
121,JRip,Arcabit,0.896551724137931
122,JRip,Avast,0.889430284857571
123,JRip,Avira,0.8920539730134931
124,JRip,Baidu,0.9006746626686655
125,JRip,BitDefender,0.899175412293853
126,JRip,Bkav,0.902173913043478
127,JRip,CATQHeal,0.8871814092953525
128,JRip,CMC,0.89167916041979
129,JRip,ClamAV,0.897301349325337
130,JRip,Comodo,0.889430284857571
131,JRip,CrowdStrike,0.8980509745127435
132,JRip,Cyren,0.902548725637181
133,JRip,DrWeb,0.8943028485757121
134,JRip,ENOD32,0.8901799100449775
135,JRip,Emsisoft,0.889430284857571
136,JRip,Endgame,0.886806596701649
137,JRip,F-Prot,0.9036731634182911
138,JRip,F-Secure,0.896551724137931
139,JRip,Fortinet,0.8808095952023985
140,JRip,GData,0.889055472263868
141,JRip,Invincea,0.8845577211394304
142,JRip,Jiangmin,0.901799100449775
143,JRip,K7AntiVirus,0.887556221889055
144,JRip,K7GW,0.889805097451274
145,JRip,Kaspersky,0.883808095952024
146,JRip,Kingsoft,0.820839580209895
147,JRip,MAX,0.88568215892054
148,JRip,McAfee,0.8883058470764615
149,JRip,McAfee-GW,0.887556221889055
150,JRip,MicroWorld,0.897301349325337
151,JRip,Microsoft,0.886806596701649
152,JRip,NANO,0.8796851574212889
153,JRip,Paloalto,0.8834332833583209
154,JRip,Panda,0.893928035982009
155,JRip,Qihoo-360,0.893553223388306
156,JRip,Rising,0.904422788605697
157,JRip,SASpyware,0.896176911544228
158,JRip,SentinelOne,0.8920539730134935
159,JRip,Sophos,0.891304347826087
160,JRip,Symantec,0.881559220389805
161,JRip,Tencent,0.8886806596701651
162,JRip,TheHacker,0.87143928035982
163,JRip,TotalDefense,0.867316341829085
164,JRip,TrendMicro,0.8875562218890555
165,JRip,TMHouseC,0.8901799100449774
166,JRip,VBA32,0.8950524737631185
167,JRip,VIPRE,0.891304347826087
168,JRip,ViRobot,0.8369565217391305
169,JRip,Webroot,0.9021739130434785
170,JRip,Yandex,0.9029235382308844
171,JRip,ZoneAlarm,0.8898050974512746
172,JRip,Zoner,0.9227886056971515
173,JRip,eGambit,0.926536731634183
174,OneR,ALYac,0.8905547226386805
175,OneR,AVG,0.831334332833583
176,OneR,AVware,0.8073463268365815
177,OneR,Ad-Aware,0.8703148425787105
178,OneR,AhnLab-V3,0.8440779610194905
179,OneR,Arcabit,0.8309595202398805
180,OneR,Avast,0.829085457271364
181,OneR,Avira,0.8215892053973015
182,OneR,Baidu,0.8365817091454275
183,OneR,BitDefender,0.8444527736131935
184,OneR,Bkav,0.802848575712144
185,OneR,CATQHeal,0.815217391304348
186,OneR,CMC,0.825337331334333
187,OneR,ClamAV,0.8339580209895054
188,OneR,Comodo,0.815592203898051
189,OneR,CrowdStrike,0.827961019490255
190,OneR,Cyren,0.8369565217391305
191,OneR,DrWeb,0.828710644677661
192,OneR,ENOD32,0.807346326836582
193,OneR,Emsisoft,0.815217391304348
194,OneR,Endgame,0.815967016491754
195,OneR,F-Prot,0.8448275862068965
196,OneR,F-Secure,0.835457271364318
197,OneR,Fortinet,0.81184407796102
198,OneR,GData,0.8215892053973015
199,OneR,Invincea,0.812593703148426
200,OneR,Jiangmin,0.863568215892054
201,OneR,K7AntiVirus,0.8197151424287855
202,OneR,K7GW,0.8197151424287855
203,OneR,Kaspersky,0.826836581709145
204,OneR,Kingsoft,0.785607196401799
205,OneR,MAX,0.8062218890554725
206,OneR,McAfee,0.820464767616192
207,OneR,McAfee-GW,0.8140929535232385
208,OneR,MicroWorld,0.84407796101949
209,OneR,Microsoft,0.8065967016491755
210,OneR,NANO,0.8103448275862071
211,OneR,Paloalto,0.8290854572713645
212,OneR,Panda,0.8268365817091454
213,OneR,Qihoo-360,0.8185907046476759
214,OneR,Rising,0.8234632683658175
215,OneR,SASpyware,0.8388305847076465
216,OneR,SentinelOne,0.805472263868066
217,OneR,Sophos,0.8242128935532236
218,OneR,Symantec,0.8129685157421289
219,OneR,Tencent,0.832458770614693
220,OneR,TheHacker,0.8137181409295351
221,OneR,TotalDefense,0.8200899550224885
222,OneR,TrendMicro,0.8009745127436281
223,OneR,TMHouseC,0.8009745127436285
224,OneR,VBA32,0.819340329835082
225,OneR,VIPRE,0.817466266866567
226,OneR,ViRobot,0.805472263868066
227,OneR,Webroot,0.839205397301349
